artifact_name,countr_of_origin,acquisition_date,created_date,description,continent
"Case, storage-carrying",United States of America,2011,2008,"Black rigid synthetic case has smooth finish; black synthetic hinges, latches and handles reinforced with silver metal; silver metal fittings on case front permit use of lock; black synthetic (?) wheels black/dark grey pliable and rigid foam blocks fixed to interior.",NA
Viewer,United States of America,2011,2007,Black synthetic viewer fitted with clear synthetic lenses; metal and synthetic fittings.,NA
Cable,United States of America,2011,2007,Silver metal connectors mounted on black synthetic housings; black synthetic covering on cable.,NA
Guitar,Canada,2011,1960,"Wood body; metal strings, tuning pegs connectors; plastic fingerboard, pickguard",NA
Amplifier,Canada,2011,1955,"Wood body; fabric covering; metal handle and interior components; glass tubes; synthetic handle grip, knobs",NA
"Toy, cow",United States of America,2011,1977,"Rigid synthetic cow is white with black markings, brown hooves and pink mouth; black flexible synthetic ears; brown flexible horns.Head and tail are hinged, Red synthetic collar resembling woven cord bears functional brass colour metal bell. [pink flexible synthetic udder [.2] fitted to underside of cow]",NA
Toy component,United States of America,2011,1977,"Round, flexible pink synthetic udder has 4 teats.",NA
Mat,United States of America,2011,1977,Thin rectangular synthetic sheet.,NA
"Trough, toy",United States of America,2011,1977,Rigid opaque brown synthetic trough has imitation wood-grain finish.,NA
"Tablet collection, toy",United States of America,2011,1977,Opaque synthetic bag contains round white tablets [some of which now appear to have degraded into powder]; synthetic covered metal twist tie closure.,NA
"Hen, toy",China,2011,1980,"Predominantly metal [presumably tin] bird has rigid and soft moulded synthetic fittings [ie. rollers/wheels on underside; comb, beak and wattle; cover for egg compartment in tail, etc.] Hen painted yellow, with red, white, brown and black markings and trim; underside of wings and egg receptacle in tail have bright silver metal finish.",AS
"Toy, egg",China,2011,1980,"Smooth, oval shaped off-white moulded synthetic form.",AS
